created_at,url,user_id_str,full_text,user/location
Wed Dec 30 23:59:13 +0000 2020,https://twitter.com/CarlZha/status/1344432886145978368,65172298,"US weapon manufacturers sponsored @ASPI_org shill cum snowflake fantasizing abt China occupying Aussie city and kill 6,000 people to justify crying over China’s tariff on Aussie wine https://t.co/ICyYrIiEVv",United States
Wed Dec 30 23:41:42 +0000 2020,https://twitter.com/MahyarTousi/status/1344428479195082760,49384084,"First, China infiltrated Africa. No one cared.

Next, they bought Iran. The west ignored it.

Now, they’re being invited to Europe by the EU. Let me guess... they’re just going to get away with it.",U.S.A
Wed Dec 30 23:58:14 +0000 2020,https://twitter.com/wendyp4545/status/1344432639483269120,2734574376,"He said we're not the Federal governments priority.  He supported billions to foreign nations that hate us.  He's owned by China.

He's china's pet.",DE US
Wed Dec 30 23:41:19 +0000 2020,https://twitter.com/michaeljohns/status/1344428381534826496,14828860,"One year ago today, Dr. Li Wenliang, a physician at Wuhan Central Hospital, boldly attempted to warn his peers of the #COVID19 pandemic in #Wuhan.

#China's Communist Party arrested him for ""spreading rumors"" and publicly reprimanded him. He died from the virus five weeks later.",IL
Wed Dec 30 23:53:09 +0000 2020,https://twitter.com/calvinchui0202/status/1344431362170785793,997106166,"I try to make a #シャドーボックス this year
But I want to play #ポケカ  with my friends more
Just the damn China virus 
I hope everyone is healthy https://t.co/xVPyI8y8RD","Vermont, VT"
Wed Dec 30 23:43:59 +0000 2020,https://twitter.com/conmomma/status/1344429052459843584,479953114,Odds are ALL of this is MADE IN CHINA.,us
Wed Dec 30 23:53:27 +0000 2020,https://twitter.com/STUinSD/status/1344431434874851330,814530975350792192,It. Has. Always. Been. China. (and their vassals in the Democrat Party!),"New Mexico, NM"
Wed Dec 30 23:42:19 +0000 2020,https://twitter.com/ladjustlivin/status/1344428634157834240,432010146,Fuck China,"Denver, Colorado"
Wed Dec 30 23:50:55 +0000 2020,https://twitter.com/ELuttwak/status/1344430797164572674,1239676915386068993,"Indian air force Sukhoi 30s at Ayni AB in Tajikistan are within easy combat range of the westernmost territory controlled by China, whose Turkic/Muslim population is silently hostile to Chinese garrison troops. Yes, the PRC is a Land Power that must guard its borders.",United States
Wed Dec 30 23:53:34 +0000 2020,https://twitter.com/TheRickyDavila/status/1344431465250000896,341190477,"So here’s a recap, Agolf Twitler is attacking all Georgia election officials like lying about their Secretary of State’s brother Ron working w/ China to rig the election when his brother doesn’t work for China, has no knowledge of voting machines and isn’t named Ron.",North Carolina
Wed Dec 30 23:52:20 +0000 2020,https://twitter.com/PAstynome/status/1344431157023186945,1281860767592017920,The EU behaved in a very opportunistic manner in regards to this agreement. They managed to wiggle out favorable concessions from China and took advantage of the US’s hawkish stance. This is why the China hawks are so livid. As I said before “every man for himself” diplomacy.,"Delaware, DE"
Wed Dec 30 23:56:21 +0000 2020,https://twitter.com/SayNoToSino/status/1344432166088761345,1257878321901137920,"The E.U's new deal with China would be laughable if it wasn't so horrifyingly serious.

E.U. cannot honestly expect CCP to open up it's companies and economy. All CCP companies are founded on fraud and scams. And they will never allow outsiders to AUDIT their accounts.",NH
Wed Dec 30 23:54:00 +0000 2020,https://twitter.com/wtossoun/status/1344431575539204097,830987408,$AVZ #offtake with Chinese giant #lithium producer #ganfeng is only the beginning of many. #CATL is China’s largest battery manufacturer and not far away from coming onboard imo.  #rEVolution is here - Don’t be left behind!,Maine
Wed Dec 30 23:41:33 +0000 2020,https://twitter.com/GordonGChang/status/1344428441056272387,151930383,"Will be on the @IngrahamAngle at 10:45 ET, talking to @LisaMarieBoothe about #China. Will #Biden rescue #CommunistChina? His policies will end up doing that, especially if @JohnKerry, the new #climate czar, gets his way. #CCP #CCPChina #IngrahamAngle #FoxNews @FoxNews","Omaha, Nebraska"
Wed Dec 30 23:42:07 +0000 2020,https://twitter.com/Bullring2/status/1344428586518904832,557315773,Anthony Faux-ci is like that one person you know that will agree with differing opinions on the China-virus with which ever group he’s with at breakfast &amp; yet evolve to oppose that with others at lunch only to come full circle “Yes Boy” just in time for supper &amp; the evening news,"Connecticut, CT"
Wed Dec 30 23:58:33 +0000 2020,https://twitter.com/ANTH0NYJOSEPH/status/1344432720634671111,1141222629027864578,"Fuck the government, fuck politicians,fuck the police, fuck Antifa, fuck BLM, fuck race grifters, fuck MSM, fuck Hollywood, fuck China, fuck commies, fuck lefties, fuck rino's,fuck ""experts"",fuck ""the science, fuck criminals and fuck everyone defending &amp; supporting all of them.",us
Wed Dec 30 23:57:28 +0000 2020,https://twitter.com/BonVangUFO/status/1344432447761485825,1141143759414947840,"Japan To Field New ASM-3A Long-Range Supersonic Anti-Ship Missile
https://t.co/uxzPpaeSde
Extended range version of ASM-3 is being mass-produced in response to China's maritime expansion.",AL US
Wed Dec 30 23:44:29 +0000 2020,https://twitter.com/the_americangrl/status/1344429179970883585,3300072236,"If you had told me this prior to February I would have been like, wut? But now it makes sense. Wow, we’ve been infiltrated by China.",OR US
Wed Dec 30 23:50:18 +0000 2020,https://twitter.com/DrRafidahHanim/status/1344430644135280645,1002361759011725312,"This is horrible. To hear family members announcing #China and #CCP imprisoning regular citizens because of their religion and ethnicities. This is genocidal.

#uyghurcrisis 
#UyghurGenocide 
#FreeGulshanAbbas",us
Wed Dec 30 23:44:24 +0000 2020,https://twitter.com/DocBearOMD/status/1344429161117454336,148002023,"There have been 3 drug epidemics since 1990. In the late 90s, it was started by flooding the markets w/ Oxycontin + similar drugs. In the 2000s, there was a move to heroin. In the past 8 years, it's been driven by fentanyl, 1st from China, now China + Mexico. Not by pain patients",KY
Wed Dec 30 23:57:46 +0000 2020,https://twitter.com/nypost/status/1344432524244746241,17469289,China and EU advance on trade deal in spite of human rights abuses https://t.co/r0QbIYis67 https://t.co/OZDWXAKk0n,"Fresno, California"
Wed Dec 30 23:56:52 +0000 2020,https://twitter.com/liberatedswift/status/1344432297328611329,1098900665789689856,y'all getting mad at China for putting very strict authoritarian measures on the people during the pandemic but they're getting the job done unlike y'all my-freedom-is-more-important-than-the-safety-of-others asses... it must be the individualism worms 🤢🤢🤢,"Oakland, California"
Wed Dec 30 23:56:55 +0000 2020,https://twitter.com/tanayj/status/1344432311136239617,16778949,"Going through Kuaishou's (competitor to Douyin i.e. Tiktok in China) prospectus and its numbers are pretty crazy

• 302M daily active users and 776M monthly actives (growing ~65% y/y) 
• Average time spent of 85 min / DAU 🤯
• $6B in revenue in 2019 (growing ~50% y/y in 2020)",United States
